2026-09-04 20:28:36,616 | INFO | MainThread | Starting Edge Node
2026-09-04 20:28:36,617 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:28:41,618 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:28:46,619 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:28:51,620 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:28:56,621 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:01,621 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:06,622 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:11,623 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:16,625 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:21,626 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:26,626 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:31,626 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:36,627 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:41,628 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:46,628 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:51,629 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:29:56,630 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:01,631 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:06,631 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:11,633 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:16,634 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:21,635 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:26,637 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:31,638 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:36,639 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:41,640 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:46,640 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:51,641 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:30:56,641 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:31:01,642 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:31:06,643 | ERROR | MainThread | Modbus connect error: Connection failed
2026-09-04 20:31:11,644 | ERROR | MainThread | Modbus connect error: Connection failed
